SGDP_ID,Illumina_ID,Sample_ID
B_Australian-3,SS6004478,IHW9118
B_Australian-4,SS6004477,IHW9193
B_Crete-1,LP6007069-DNA_A01,AV-21
B_Crete-2,LP6007068-DNA_A01,TZ-11
B_Dai-4,SS6004467,HGDP01308
B_Dinka-3,SS6004480,DNK07
B_French-3,SS6004468,HGDP00533
B_Han-3,SS6004469,HGDP00775
B_Ju_hoan_North-4,SS6004473,HGDP01036
B_Karitiana-3,SS6004476,HGDP01015
B_Mandenka-3,SS6004470,HGDP01286
B_Mbuti-4,SS6004471,HGDP00982
B_Mixe-1,SS6004479,mixe0007
B_Papuan-15,SS6004472,HGDP00546
B_Sardinian-3,SS6004474,HGDP01076
B_Yoruba-3,SS6004475,HGDP00936
S_Albanian-1,LP6005677-DNA_B01,ALB212
S_Altaian-1,LP6005442-DNA_F02,altai363p
S_Atayal-1,LP6005442-DNA_E07,NA13604
S_Chane-1,LP6005519-DNA_D01,TGBS21
S_Chechen-1,LP6005442-DNA_D03,ch113
S_Chukchi-1,LP6005443-DNA_C03,Sir19
S_Czech-2,LP6005443-DNA_H05,NA15728
S_Eskimo_Chaplin-1,LP6005443-DNA_D03,Esk29
S_Hawaiian-1,LP6005592-DNA_H03,NA17385
S_Itelman-1,LP6005443-DNA_D04,Kor82
S_Khonda_Dora-1,LP6005519-DNA_E05,KD4
S_Maori-1,LP6005592-DNA_B02,NA17386
S_Norwegian-1,LP6005592-DNA_B01,NOR111
S_Polish-1,LP6005592-DNA_E02,ND15865
S_Samaritan-1,LP6005592-DNA_D04,Sam02
S_Somali-1,LP6005442-DNA_D09,Ayodo_81S
S_Armenian-1,LP6005442-DNA_G02,armenia293
S_Armenian-2,LP6005519-DNA_F03,Armenian222
S_Balochi-1,LP6005441-DNA_D01,HGDP00090
S_Balochi-2,LP6005441-DNA_C01,HGDP00058
S_Bergamo-1,LP6005441-DNA_A06,HGDP01153
S_Bergamo-2,LP6005441-DNA_B06,HGDP01172
S_Daur-1,LP6005443-DNA_C01,HGDP01217
