HGDP00540,CPG148163
HGDP00541,CPG148171
HGDP00543,CPG148189
HGDP00545,CPG148205
HGDP00547,CPG148213
HGDP00549,CPG195354
HGDP00550,CPG148221
HGDP00551,CPG195362
HGDP00553,CPG195370
HGDP00555,CPG148239
HGDP00556,CPG148247
LP6005441-DNA_A01,CPG154138
LP6005441-DNA_A03,CPG154146
LP6005441-DNA_A04,CPG154153
LP6005441-DNA_A05,CPG154161
LP6005441-DNA_A06,CPG154179
LP6005441-DNA_A08,CPG154187
LP6005441-DNA_A11,CPG154203
LP6005441-DNA_A12,CPG154211
LP6005441-DNA_B01,CPG154229
LP6005441-DNA_B02,CPG154237
LP6005441-DNA_B03,CPG154245
LP6005441-DNA_B04,CPG154252
LP6005441-DNA_B05,CPG154260
LP6005441-DNA_B06,CPG154278
LP6005441-DNA_B07,CPG154286
LP6005441-DNA_B08,CPG154294
LP6005441-DNA_B09,CPG154302
LP6005441-DNA_B11,CPG154310
LP6005441-DNA_B12,CPG154328
LP6005441-DNA_C01,CPG154336
LP6005441-DNA_C02,CPG154344
LP6005441-DNA_C03,CPG154351
LP6005441-DNA_C05,CPG154369
LP6005441-DNA_C06,CPG195669
LP6005441-DNA_C07,CPG154377
LP6005441-DNA_C08,CPG154385
LP6005441-DNA_C09,CPG154393
LP6005441-DNA_C10,CPG154401
LP6005441-DNA_C11,CPG154419
LP6005441-DNA_D01,CPG154427
LP6005441-DNA_D02,CPG154435
LP6005441-DNA_D03,CPG154443
LP6005441-DNA_D04,CPG154450
LP6005441-DNA_D05,CPG154468
LP6005441-DNA_D06,CPG154476
LP6005441-DNA_D07,CPG154484
LP6005441-DNA_D08,CPG154492
LP6005441-DNA_D09,CPG154500
LP6005441-DNA_D10,CPG154518
LP6005441-DNA_D11,CPG154526
LP6005441-DNA_D12,CPG154534
LP6005441-DNA_E02,CPG154542
LP6005441-DNA_E03,CPG154559
LP6005441-DNA_E05,CPG154567
LP6005441-DNA_E06,CPG154575
LP6005441-DNA_E07,CPG154583
LP6005441-DNA_E08,CPG154591
LP6005441-DNA_E09,CPG154609
LP6005441-DNA_E10,CPG154617
LP6005441-DNA_F01,CPG154625
LP6005441-DNA_F02,CPG154633
LP6005441-DNA_F03,CPG154641
LP6005441-DNA_F04,CPG154658
LP6005441-DNA_F05,CPG154666
LP6005441-DNA_F06,CPG154674
LP6005441-DNA_F07,CPG154682
LP6005441-DNA_F08,CPG154690
LP6005441-DNA_F09,CPG154708
LP6005441-DNA_F10,CPG154716
LP6005441-DNA_F12,CPG154724
LP6005441-DNA_G02,CPG154732
LP6005441-DNA_G03,CPG154740
LP6005441-DNA_G04,CPG154757
LP6005441-DNA_G05,CPG154765
LP6005441-DNA_G06,CPG154773
LP6005441-DNA_G07,CPG154781
LP6005441-DNA_G08,CPG154799
LP6005441-DNA_G09,CPG154807
LP6005441-DNA_G10,CPG154815
LP6005441-DNA_G11,CPG154823
LP6005441-DNA_G12,CPG154831
LP6005441-DNA_H02,CPG154849
LP6005441-DNA_H03,CPG154856
LP6005441-DNA_H05,CPG154864
LP6005441-DNA_H06,CPG154872
LP6005441-DNA_H07,CPG154880
LP6005441-DNA_H08,CPG154898
LP6005441-DNA_H09,CPG154906
LP6005441-DNA_H10,CPG154914
LP6005441-DNA_H11,CPG154922
LP6005441-DNA_H12,CPG154930
LP6005442-DNA_A02,CPG154948
LP6005442-DNA_B01,CPG154955
LP6005442-DNA_B02,CPG154963
LP6005442-DNA_D01,CPG154971
LP6005442-DNA_F01,CPG154989
LP6005442-DNA_G01,CPG154997
LP6005442-DNA_H01,CPG155002
LP6005443-DNA_A01,CPG155010
LP6005443-DNA_A02,CPG155028
LP6005443-DNA_B01,CPG155036
LP6005443-DNA_B02,CPG155044
LP6005443-DNA_C02,CPG155051
LP6005443-DNA_D01,CPG155069
LP6005443-DNA_D02,CPG155077
LP6005443-DNA_D08,CPG155085
LP6005443-DNA_E01,CPG155093
LP6005443-DNA_E02,CPG155101
LP6005443-DNA_E08,CPG155119
LP6005443-DNA_E09,CPG155127
LP6005443-DNA_F01,CPG155135
LP6005443-DNA_F02,CPG155143
LP6005443-DNA_F07,CPG155150
LP6005443-DNA_G01,CPG155168
LP6005443-DNA_G02,CPG155176
LP6005443-DNA_G08,CPG155184
LP6005443-DNA_H01,CPG155192
LP6005592-DNA_B03,CPG155200
LP6005592-DNA_C03,CPG155218
LP6005592-DNA_D03,CPG155226
